"","V1","V2","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"82","1",1.82213,0.45468,0.96082,-0.31685,-0.79151,-1.23177,-0.01928,-0.91699,-0.14277,0.88113,0.40148
"118","1",-0.07854,0.45468,0.96082,-0.31685,1.60383,0.80523,1.43533,0.13136,-1.13788,0.52975,0.40148
"199","1",-0.07854,-0.05921,0.96082,-0.31685,-0.05188,0.47617,0.58331,0.76096,-0.00665,1.86203,1.2247
"343","1",-0.95197,-2.43591,0.96082,-0.31685,0.22393,-0.15487,-0.01928,-0.15487,-0.40581,0.88113,-0.84637
"344","1",0.49788,1.16365,0.96082,-0.31685,-1.86962,0.16767,1.43533,1.81866,1.13407,-0.71126,-0.84637
"350","1",0.49788,-0.61113,0.96082,-0.31685,1.02119,-0.57545,0.88309,1.2861,-0.65253,0.88113,-0.21575
"359","1",-0.07854,-0.61113,0.96082,-0.31685,-0.58016,1.58487,0.58331,0.13136,0.41594,1.29221,1.92173
"361","1",0.49788,-0.05921,0.96082,-0.31685,0.62967,0.63779,1.06238,0.94156,1.30612,0.88113,0.40148
"369","1",-0.07854,0.45468,0.96082,-0.31685,1.23461,0.32197,0.29338,0.76096,-0.65253,0.19268,-0.21575
"424","1",1.09449,1.98437,-0.57009,-0.31685,0.52135,0.00332,1.65653,0.94156,-0.00665,1.29221,0.40148
"437","1",-0.07854,0.45468,-0.57009,-0.31685,2.82196,-0.43999,-0.84732,-1.772,-2.04506,0.88113,0.07987
"459","1",-0.95197,0.45468,0.96082,-0.31685,1.23461,-1.37639,1.24033,-1.772,0.25953,0.88113,0.07987
"469","1",1.09449,-1.7379,-0.57009,-0.31685,2.82196,-1.6334,-1.42424,1.61108,-2.04506,-0.21712,0.07987
"472","1",-0.95197,-2.43591,0.96082,-0.31685,0.31287,0.00332,-0.17779,1.2861,-0.00665,0.19268,-0.21575
"481","1",0.49788,0.45468,-0.09765,-0.31685,1.02119,0.16767,0.29338,-0.15487,0.58489,0.19268,0.40148
"487","1",0.49788,-1.22751,-0.57009,-0.31685,1.8399,-1.7625,1.24033,-1.07533,0.25953,0.19268,-0.52593
"491","1",1.09449,-0.05921,0.96082,-0.31685,0.62967,0.80523,0.44585,-0.30172,-0.78155,1.29221,1.92173
"499","1",1.82213,-0.61113,0.96082,-0.31685,1.37297,-0.69509,1.43533,-0.15487,-1.92173,0.88113,1.2247
"511","1",1.09449,1.16365,0.96082,-0.31685,0.41667,0.47617,-0.17779,-0.15487,0.25953,-0.21712,-1.18084
"516","1",0.49788,-1.7379,0.96082,-0.31685,-0.14882,0.16767,-0.71727,-1.6209,0.25953,-0.21712,-0.52593
"524","1",0.49788,-2.43591,0.96082,-0.31685,0.13606,-0.80615,-1.82919,0.13136,0.41594,-1.37983,-2.07848
"535","1",-0.07854,0.45468,-0.57009,-0.31685,0.91093,0.00332,0.88309,-2.07848,-0.52745,0.19268,-0.21575
"605","1",1.82213,1.16365,-0.57009,-0.31685,-2.52197,1.11406,1.88511,1.2861,-1.0145,-0.71126,-0.52593
"614","1",-0.07854,-2.43591,-0.57009,-0.31685,-0.24649,0.63779,-0.71727,-0.91699,0.25953,1.29221,-0.21575
"634","1",0.49788,1.98437,0.96082,-0.31685,1.23461,0.16767,-0.01928,-1.07533,-0.65253,-0.21712,1.2247
"647","1",0.49788,1.16365,-0.57009,-0.31685,1.13281,0.16767,1.06238,2.03972,-1.0145,1.29221,1.92173
"699","1",0.49788,-0.61113,-0.28519,-0.31685,0.91093,0.16767,0.44585,-0.91699,0.12331,1.29221,1.2247
"714","1",-0.95197,-0.61113,-0.57009,-0.31685,0.62967,0.47617,1.06238,1.81866,0.25953,-0.21712,0.40148
"728","1",-0.07854,-1.7379,-0.09765,-0.31685,-0.58016,0.32197,0.14143,-0.60633,0.12331,1.29221,0.7654
"734","1",-0.07854,0.45468,0.96082,-0.31685,0.22393,2.127,2.44904,1.61108,-0.65253,1.29221,1.2247
"771","1",1.09449,-0.05921,0.24923,-0.31685,1.02119,-1.23177,-0.31776,-0.30172,-0.52745,-0.21712,-0.21575
"778","1",-0.95197,-0.05921,-0.57009,-0.31685,1.02119,-2.11437,-0.17779,0.43852,-0.00665,-1.37983,-0.84637
"797","1",0.49788,-0.61113,0.96082,-0.31685,1.23461,0.63779,1.43533,0.43852,-0.65253,1.86203,-0.52593
"801","1",1.09449,0.45468,-0.57009,-0.31685,0.13606,-0.94779,-0.97631,0.76096,-0.27607,-1.37983,1.2247
"803","1",-0.95197,0.45468,0.24923,-0.31685,1.98437,-1.50796,1.43533,-1.772,0.41594,0.52975,0.07987
"810","1",1.09449,0.45468,-0.57009,-0.31685,1.23461,1.74091,0.88309,-1.92595,-1.64101,0.88113,1.2247
"815","1",-0.95197,-0.61113,-0.57009,-0.31685,0.13606,-0.94779,-0.01928,0.43852,0.7583,-0.21712,-0.52593
"842","1",-0.07854,-0.61113,-0.57009,-0.31685,0.52135,-0.43999,0.14143,-1.07533,-0.27607,-1.37983,0.07987
"859","1",-0.95197,-0.61113,-0.28519,-0.50212,1.02119,-1.23177,1.06238,-1.07533,-1.25773,2.90161,0.40148
"879","1",-0.95197,-2.43591,-0.57009,-0.31685,0.62967,-0.15487,0.88309,-0.45321,-1.38502,0.19268,1.92173
"881","1",-0.07854,-0.61113,-0.57009,-0.31685,-1.1943,1.45421,1.24033,-0.91699,-0.14277,0.52975,1.2247
"893","1",-0.07854,-1.43719,0.96082,-0.31685,3.27393,-2.11437,-0.84732,-1.07533,-2.30408,0.52975,-1.18084
"901","1",-0.07854,1.16365,-0.57009,-0.31685,0.22393,-0.69509,0.29338,-0.60633,-1.13788,0.52975,0.40148
"910","1",-0.95197,-0.61113,-0.57009,-0.31685,2.127,-2.72827,-1.97495,-0.01729,-1.38502,0.52975,-0.84637
"930","1",-0.07854,0.45468,-0.09765,-0.31685,0.73545,-0.69509,1.24033,0.94156,0.41594,0.52975,0.7654
"931","1",-0.95197,-1.43719,-0.57009,-0.31685,1.13281,-1.92173,-0.01928,1.11406,-0.78155,-0.21712,1.92173
"933","1",-0.95197,-0.61113,-0.57009,-0.31685,-1.32828,1.11406,1.24033,0.28783,-0.78155,1.86203,1.92173
"941","1",-0.95197,-0.61113,-0.57009,0.126,1.60383,-0.80615,0.58331,0.43852,-1.13788,0.88113,0.7654
"942","1",-0.07854,1.16365,-0.57009,-0.31685,1.02119,-0.30033,0.44585,0.76096,-1.25773,1.29221,0.7654
"948","1",-0.95197,0.45468,-0.57009,-0.31685,0.62967,0.00332,0.44585,-0.45321,-0.65253,-0.21712,0.40148
"958","1",1.09449,-0.61113,-0.57009,-0.31685,-0.05188,-0.69509,0.7233,2.03972,-0.40581,-0.21712,-0.21575
"981","1",-0.07854,0.45468,-0.57009,-0.31685,0.62967,-0.15487,1.88511,-1.772,1.13407,0.52975,1.2247
