,Dataset,Embedding,Times
0,cervical_new,Angle,71.35087370872498
1,cervical_new,IQP,195.2299017906189
2,ctg_new,Angle,818.4287927150726
3,ctg_new,IQP,3654.422874689102
4,fertility_new,Angle,34.71396088600159
5,fertility_new,IQP,249.2270429134369
6,haberman_new,Angle,21.040469646453857
7,haberman_new,IQP,37.5484721660614
8,hcv_new,Angle,116.97883129119873
9,hcv_new,IQP,776.1407980918884
10,nafld_new,Angle,34.85667324066162
11,nafld_new,IQP,242.0039234161377
12,heroin_new,Angle,191.15998077392578
13,heroin_new,IQP,1036.1677243709564
14,sobar_new,Angle,68.01083636283875
15,sobar_new,IQP,563.4134356975555
16,wdbc_new,Angle,133.9188938140869
17,wdbc_new,IQP,803.3554439544678
