,Dataset,Embedding,Times
0,cervical_new,Angle,37.601346254348755
1,cervical_new,IQP,94.45940709114075
2,ctg_new,Angle,361.0026867389679
3,ctg_new,IQP,2187.7336695194244
4,fertility_new,Angle,15.853338956832886
5,fertility_new,IQP,112.38276505470276
6,haberman_new,Angle,11.081741571426392
7,haberman_new,IQP,19.013904333114624
8,hcv_new,Angle,70.50565838813782
9,hcv_new,IQP,535.3977017402649
10,nafld_new,Angle,18.460307836532593
11,nafld_new,IQP,130.0163722038269
12,heroin_new,Angle,65.47359251976013
13,heroin_new,IQP,434.6654484272003
14,sobar_new,Angle,43.56279540061951
15,sobar_new,IQP,398.4766433238983
