,Dataset,Embedding,Times
0,cervical_new,Angle,37.799760580062866
1,cervical_new,IQP,94.83670711517334
2,ctg_new,Angle,360.0253961086273
3,ctg_new,IQP,2182.2871265411377
4,fertility_new,Angle,15.048522472381592
5,fertility_new,IQP,106.37863564491272
6,haberman_new,Angle,10.944638967514038
7,haberman_new,IQP,18.779486656188965
8,hcv_new,Angle,70.33695721626282
9,hcv_new,IQP,528.1848683357239
10,nafld_new,Angle,19.034689903259277
11,nafld_new,IQP,127.14523816108704
12,heroin_new,Angle,65.25011873245239
13,heroin_new,IQP,427.3411147594452
14,sobar_new,Angle,43.516340255737305
15,sobar_new,IQP,376.60979294776917
16,wdbc_new,Angle,109.43064141273499
17,wdbc_new,IQP,816.8104865550995
